city,population,lat,lon,bundesland
Lauf an der Pegnitz,26413,49.510277777,11.277222222,Bayern
Igenhausen,323,48.5373,11.1294,Bayern
Weilheim in Oberbayern,23378,47.833333333,11.133333333,Bayern
Dachau,48337,48.260277777,11.434166666,Bayern
Neustadt an der Aisch,13523,49.58,10.608888888,Bayern
Trostberg,11463,48.02798,12.55857,Bayern
Kulmbach,26052,50.108055555,11.455555555,Bayern
Ebersberg,12527,48.083333333,11.966666666,Bayern
Würzburg,133258,49.794444444,9.929444444,Bayern
Bogen,10333,48.916666666,12.683333333,Bayern
Cham,17593,49.218333333,12.665833333,Bayern
Garmisch-Partenkirchen,27509,47.5,11.083333333,Bayern
Kronach,16924,50.241111111,11.328055555,Bayern
Lichtenfels,20403,50.146944444,11.068333333,Bayern
Neu-Ulm,61780,48.383333333,10.0,Bayern
Kempten,70713,47.733333333,10.316666666,Bayern
München,1510378,48.1375,11.575,Bayern
Schwabach,41380,49.329166666,11.020833333,Bayern
Neuburg an der Donau,30881,48.733333333,11.183333333,Bayern
Freising,49939,48.402777777,11.748888888,Bayern
Freyung,7263,48.8075,13.5475,Bayern
Dingolfing,20927,48.633333333,12.5,Bayern
Bad Tölz,19360,47.760277777,11.556666666,Bayern
Q269010,14949,48.8,11.766666666,Bayern
Rosenheim,65192,47.856111111,12.128888888,Bayern
Kitzingen,23377,49.733333333,10.166666666,Bayern
Ansbach,42311,49.3,10.583333333,Bayern
Deggendorf,35757,48.835277777,12.964444444,Bayern
Traunstein,21551,47.868333333,12.643333333,Bayern
Landshut,75272,48.539722222,12.150833333,Bayern
Coburg,41064,50.258469444,10.957869444,Bayern
Augsburg,303150,48.368888888,10.897777777,Bayern
Neustadt an der Waldnaab,5950,49.730555555,12.170555555,Bayern
Miltenberg,9622,49.703888888,9.264444444,Bayern
Marktoberdorf,19033,47.766666666,10.616666666,Bayern
Kelheim,17066,48.91849,11.8722777,Bayern
Memmingen,46178,47.987777777,10.181111111,Bayern
Sonthofen,22035,47.514166666,10.281666666,Bayern
Erding,37169,48.3001,11.908230555,Bayern
Raitenhart,427,48.2376,12.6456,Bayern
Tirschenreuth,8580,49.878888888,12.336888888,Bayern
Hof,46963,50.316666666,11.916666666,Bayern
Eichstätt,13867,48.891944444,11.183888888,Bayern
Forchheim,33610,49.719722222,11.058055555,Bayern
Grafing bei München,14348,48.05,11.966666666,Bayern
Landsberg am Lech,29739,48.052769444,10.868930555,Bayern
Aichach,22222,48.45,11.133333333,Bayern
Erlangen,117806,49.5925,11.005,Bayern
Donauwörth,20108,48.718430555,10.776988888,Bayern
Germering,41822,48.133333333,11.366666666,Bayern
Schweinfurt,55067,50.05,10.233333333,Bayern
Neumarkt in der Oberpfalz,41255,49.283333333,11.466666666,Bayern
Altötting,13172,48.226666666,12.678333333,Bayern
Regensburg,151517,49.016666666,12.083333333,Bayern
Bayreuth,74907,49.948055555,11.578333333,Bayern
Wunsiedel,9294,50.037388888,11.999388888,Bayern
Neustadt am Kulm,1145,49.82595,11.8351,Bayern
Bad Neustadt an der Saale,15720,50.321944444,10.216111111,Bayern
Passau,54401,48.5748229,13.4609744,Bayern
Regen,11009,48.97,13.126388888,Bayern
Mühldorf am Inn,21860,48.245555555,12.522777777,Bayern
Starnberg,23940,47.997222222,11.340555555,Bayern
Bad Kissingen,23245,50.2,10.066666666,Bayern
Fürstenfeldbruck,38187,48.177777777,11.255555555,Bayern
Münchham,190,48.3289,13.1256,Bayern
Mindelheim,16226,48.05313,10.49152,Bayern
Karlstadt am Main,15062,49.960277777,9.772222222,Bayern
Haßfurt,13982,50.035333333,10.512305555,Bayern
Amberg,42676,49.444444444,11.848333333,Bayern
Neustadt bei Coburg,15089,50.328888888,11.121111111,Bayern
Weißenburg in Bayern,18931,49.030555555,10.971944444,Bayern
Herzogenaurach,24674,49.57,10.881944444,Bayern
Roth,25405,49.246111111,11.091111111,Bayern
Ittling,364,48.8819,12.635,Bayern
Weiden in der Oberpfalz,43188,49.673530555,12.166061111,Bayern
Miesbach,12109,47.789030555,11.833819444,Bayern
Straubing,49775,48.877222222,12.575833333,Bayern
Altendorf,2155,49.799515043,11.009365388,Bayern
Kaufbeuren,46386,47.88,10.6225,Bayern
Pfarrkirchen,13694,48.44195,12.9443,Bayern
Aschaffenburg,73091,49.9740542,9.1493636,Bayern
Bamberg,80580,49.891666666,10.891666666,Bayern
Moosburg an der Isar,20027,48.466666666,11.933333333,Bayern
Bad Reichenhall,19087,47.724722222,12.876944444,Bayern
Geisenfeld,11729,48.684,11.6117,Bayern
Prünstfehlburg,333,49.03644,12.70205,Bayern
Röttingen,1673,49.5103,9.971111111,Bayern
Mainbernheim,2334,49.70889,10.21817,Bayern
Schnaittenbach,4277,49.55,12.0167,Bayern
Fürth,132036,49.478333333,10.990277777,Bayern
Vilseck,6920,49.6116,11.80507,Bayern
Burgau,10628,48.432222222,10.406944444,Bayern
